Field_No_,Latitude,Longitude,UTM_E,UTM_N,Location_Area,Stratigraphy,Al_per,Ca_per,Fe_per,K_per,Mg_per,P_per,S_per,SO3_from_S,pct_alunite_from_SO3,pct_alunite_from_K2O,Si_per,Ti_per,Ag_ppm,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,La_ppm,Li_ppm,Lu_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,S_per_1,Al2O3_per,BaO_per,CaO_per,Cr2O3_per,Fe2O3_per,K2O_per,LOI_per,MgO_per,MnO_per,Na2O_per,P2O5_per,SiO2_per,SrO_per,TiO2_per,V2O5_per
AL25SM001,38.049805,-113.659139,266673.34,4214678.91,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.67,0.6,0.07,1.6,0.03,0.02,3.04,7.6,19.6,16.9,>30.0,0.16,-1,-5,-10,480,-5,0.3,-0.2,40.3,0.5,23,0.2,-10,1.5,1.22,0.12,18,0.99,-1,6,0.37,-0.2,24.2,-10,0.28,13,4,33,11.9,7,22,4.22,10.5,-0.02,0.3,-5,-1,1.4,4,221,2.3,0.21,-0.05,22.3,-0.5,0.22,4.96,31,1,9.2,1.8,7,164,,8.6,0.06,0.83,-0.01,0.09,1.92,11.1589,0.04,-0.01,0.18,0.05,75.8,0.03,0.26,-0.01
AL25SM002,38.049508,-113.658218,266753.28,4214643.65,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.29,0.2,2.69,2.8,0.03,0.11,5.77,14.4,37.3,27.3,28.2,0.32,-1,-5,11,790,-5,-0.1,-0.2,111,0.7,43,-0.1,-10,1.04,0.67,0.7,31,1.9,-1,5,0.21,-0.2,55,-10,0.14,32,4,11,27.9,7,17,10.78,12.7,-0.02,0.2,-5,-1,3.5,1,1104,0.7,0.22,-0.05,16.9,-0.5,0.11,5.05,116,-1,5.5,0.8,-5,165,,13.01,0.1,0.31,-0.01,3.62,3.1,17.8464,0.06,-0.01,0.47,0.25,58.14,0.12,0.52,0.02
AL25SM003,38.050544,-113.657736,266798.83,4214757.43,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.33,0.1,0.03,1.9,-0.01,-0.01,3.13,7.8,20.2,18.2,>30.0,0.06,-1,-5,13,127,5,0.6,-0.2,26.9,-0.5,14,0.5,-10,1.24,1.13,-0.05,17,0.58,-1,8,0.31,-0.2,15.9,-10,0.26,27,2,98,5.8,5,35,2.5,13.4,-0.02,0.3,-5,-1,0.6,10,102,6.7,0.14,-0.05,21.3,-0.5,0.24,7.14,13,2,8.6,1.8,5,134,,7.9,0.02,0.21,-0.01,0.03,2.07,10.3079,0.02,-0.01,0.08,0.02,77.71,0.01,0.1,-0.01
AL25SM004,38.049376,-113.657508,266815.13,4214627.23,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.35,0.2,1.02,0.7,-0.01,0.03,2.26,5.6,14.6,7.1,>30.0,0.36,-1,5,-10,681,-5,-0.1,-0.2,101,-0.5,11,0.2,-10,3.03,2.11,0.96,20,3.2,-1,10,0.71,-0.2,53.5,12,0.41,18,-2,19,35.8,9,40,11.18,7.4,-0.02,0.2,10,-1,4.9,2,124,1.1,0.48,-0.05,19.2,-0.5,0.39,3.55,50,2,18.3,2.6,-5,378,,13.45,0.07,0.34,-0.01,1.37,0.81,10.6368,-0.01,-0.01,0.19,0.07,71.74,0.02,0.59,-0.01
AL25SM005,38.049993,-113.656316,266921.69,4214692.72,PV,"Rhyolite tuffs and related clastic deposits, undivided",0.43,0.1,0.96,0.1,0.03,-0.01,0.18,0.4,1.2,1.2,>30.0,0.27,-1,49,-10,56,-5,-0.1,-0.2,26.5,-0.5,27,0.3,-10,1.79,1.34,0.09,3,1.49,-1,8,0.42,-0.2,14.9,-10,0.24,26,7,14,10.6,11,68,3.08,2.2,-0.02,0.7,-5,-1,1.8,1,37,0.8,0.25,-0.05,17.9,-0.5,0.2,4.12,15,2,11.6,1.5,-5,305,,0.79,-0.01,0.2,-0.01,1.41,0.14,1.24963,0.03,-0.01,0.03,0.02,95.59,-0.01,0.49,-0.01
AL25AR001,38.050392,-113.660222,266580.18,4214746.75,PV,"Rhyolite tuffs and related clastic deposits, undivided",3.62,0.1,0.03,1.5,0.03,0.02,2.55,6.4,16.5,15.8,>30.0,0.06,-1,-5,-10,180,-5,0.5,-0.2,9,-0.5,-10,0.3,-10,2.67,2.52,0.06,23,1.11,-1,9,0.72,-0.2,6.2,-10,0.64,27,3,92,2.6,5,24,0.89,10.3,-0.02,0.6,-5,-1,0.8,12,67,8,0.31,-0.05,27.6,-0.5,0.52,8.41,16,1,19,4.1,-5,142,,6.77,0.03,0.2,-0.01,0.03,1.8,9.89,0.05,-0.01,0.08,0.06,80.17,0.02,0.1,-0.01
AL25AR002,38.049326,-113.660359,266564.78,4214628.8,PV,"Rhyolite tuffs and related clastic deposits, undivided",9.29,-0.1,0.03,3.7,0.02,0.05,6.64,16.6,42.9,38.6,25.5,0.15,-1,-5,-10,855,-5,0.2,-0.2,35.9,-0.5,17,-0.1,-10,1.22,1.14,0.12,21,0.58,-1,6,0.32,-0.2,24.1,13,0.26,10,-2,26,7.3,-5,25,3.12,14.6,-0.02,0.3,-5,-1,0.7,4,411,2,0.15,-0.05,19.6,-0.5,0.22,4.36,44,-1,8.2,1.8,8,166,,17.4,0.1,0.13,-0.01,0.03,4.39,20.5738,0.03,-0.01,0.2,0.1,53.19,0.05,0.25,0.01
AL25AR003,38.049173,-113.661018,266506.45,4214613.46,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.32,-0.1,0.03,2.1,-0.01,0.02,3.76,9.4,24.3,21.3,>30.0,0.3,-1,-5,-10,498,-5,-0.1,-0.2,51.3,-0.5,27,0.1,-10,1.06,0.95,0.16,14,0.81,-1,6,0.26,-0.2,28.7,-10,0.22,-10,3,14,14.8,-5,16,5.4,8.9,-0.02,0.4,-5,-1,1.6,2,209,1,0.15,-0.05,19,-0.5,0.17,2.12,33,2,6.7,1.3,-5,203,,9.8,0.05,0.1,-0.01,0.03,2.42,12.4275,0.02,-0.01,0.15,0.06,72.74,0.02,0.52,-0.01
AL25AR004,38.048345,-113.662041,266414.06,4214524.2,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.37,0.3,0.81,2.9,0.03,0.27,5.35,13.4,34.6,28.8,29,0.32,-1,-5,-10,824,6,0.1,-0.2,93.3,-0.5,48,0.1,-10,2.75,1.34,1.07,17,4.16,-1,7,0.5,-0.2,52.7,-10,0.21,17,4,14,34.4,6,21,10.54,13.1,-0.02,0.6,-5,-1,5.5,2,325,0.9,0.56,-0.05,16.9,-0.5,0.22,6.01,67,1,12,1.4,-5,224,,13.67,0.09,0.41,-0.01,1.11,3.28,17.4065,0.05,-0.01,0.27,0.6,60.36,0.04,0.54,-0.01
AL25AR005,38.0474,-113.662127,266403.48,4214419.46,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.78,-0.1,0.04,1.9,0.03,0.01,3.57,8.9,23.1,18.9,>30.0,0.24,-1,-5,-10,524,-5,-0.1,-0.2,13.9,-0.5,27,-0.1,-10,1.52,1.17,0.23,18,1.08,-1,5,0.34,-0.2,8.8,-10,0.22,11,3,16,4.7,5,12,1.44,13.3,-0.02,0.2,-5,-1,0.9,2,195,1.1,0.21,-0.05,9.5,-0.5,0.18,2.81,31,1,9.7,1.3,-5,178,,8.83,0.06,0.13,-0.01,0.05,2.15,11.2566,0.05,-0.01,0.2,0.03,75.69,-0.01,0.38,-0.01
AL25AR005_near,38.0474,-113.662127,266403.48,4214419.46,PV,"Rhyolite tuffs and related clastic deposits, undivided",1.8,-0.1,0.08,0.7,0.02,0.02,1.31,3.3,8.5,7.4,>30.0,0.17,-1,-5,16,1332,-5,0.4,-0.2,39.8,-0.5,21,-0.1,-10,0.92,0.8,0.15,11,0.64,-1,3,0.22,-0.2,19.4,-10,0.18,23,2,16,13.6,9,105,4.68,5,-0.02,0.4,-5,-1,1.2,2,109,1.1,0.13,-0.05,17.4,-0.5,0.16,4.35,18,1,6.1,1.1,6,103,,3.36,0.16,0.08,-0.01,0.11,0.84,5.87824,0.02,-0.01,0.08,0.04,89.15,0.02,0.29,-0.01
AL25AR006,38.046619,-113.66246,266371.77,4214333.6,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.86,0.2,0.52,3,0.02,0.1,5.74,14.3,37.1,30.4,28.3,0.24,-1,-5,-10,499,-5,-0.1,-0.2,60.3,-0.5,28,0.2,-10,1.27,0.83,0.51,16,1.45,-1,6,0.27,-0.2,30.7,-10,0.16,14,-2,16,38.1,5,15,9.24,89.7,-0.02,0.4,5,-1,4.2,2,411,1.1,0.21,-0.05,16.9,-0.5,0.14,3.46,46,1,7,1.1,7,197,,14.37,0.06,0.33,-0.01,0.72,3.46,19.4242,0.03,0.01,0.3,0.22,58.57,0.04,0.39,-0.01
AL25TB001,38.049394,-113.661371,266476.17,4214638.88,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.68,-0.1,0.03,1.8,-0.01,0.03,3.6,9,23.3,17.7,>30.0,0.11,-1,6,-10,308,-5,0.2,-0.2,52.9,-0.5,16,0.3,-10,1,0.66,0.12,15,0.88,-1,4,0.2,-0.2,31.7,-10,0.15,-10,2,18,11.7,-5,38,4.51,44.4,-0.02,0.6,-5,-1,1.3,2,247,1.2,0.17,-0.05,13.1,-0.5,0.13,3.3,18,-1,5.9,1,7,114,,8.89,0.03,0.13,-0.01,0.02,2.01,12.0276,-0.01,-0.01,0.31,0.08,75.45,0.02,0.19,-0.01
AL25TB002,38.048904,-113.661971,266422.02,4214586.06,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.44,0.1,0.04,1.7,0.02,0.03,3.17,7.9,20.5,17.2,>30.0,0.34,-1,-5,-10,861,-5,0.1,-0.2,85.8,-0.5,25,0.1,-10,1.1,0.71,0.29,17,1.14,-1,5,0.23,-0.2,47.9,-10,0.17,-10,3,14,22,-5,25,8.1,9.3,-0.02,0.6,6,-1,2.2,2,193,0.9,0.18,-0.05,16.4,-0.5,0.14,2.7,47,1,6.3,1,-5,198,,8.31,0.1,0.14,-0.01,0.05,1.96,12.13,0.03,-0.01,0.14,0.07,75.67,0.02,0.56,0.01
AL25TB003,38.048423,-113.662566,266368.26,4214534.17,PV,"Rhyolite tuffs and related clastic deposits, undivided",2.55,-0.1,0.08,1,0.01,0.04,1.84,4.6,11.9,10.2,>30.0,0.28,-1,-5,-10,404,6,0.1,-0.2,39.3,-0.5,18,0.3,-10,1.57,1.14,0.39,20,2.22,-1,5,0.35,-0.2,26.2,-10,0.22,14,2,18,12.7,-5,16,3.77,9.7,-0.02,0.6,-5,-1,2.7,3,172,1.1,0.29,-0.05,18.9,-0.5,0.21,2.74,17,-1,11.4,1.5,-5,196,,4.87,0.04,0.07,-0.01,0.1,1.16,7.83843,0.01,-0.01,0.09,0.08,85.02,0.02,0.48,-0.01
AL25TB004,38.047828,-113.663218,266309.15,4214469.75,PV,"Rhyolite tuffs and related clastic deposits, undivided",1.2,0.4,0.02,0.5,0.03,0.04,0.87,2.2,5.6,4.6,>30.0,0.33,-1,-5,-10,521,-5,0.1,-0.2,40.9,-0.5,17,0.1,-10,0.81,0.67,0.21,3,0.82,-1,7,0.19,-0.2,25.4,-10,0.16,-10,-2,17,12.7,-5,28,4.06,3.4,-0.02,0.6,-5,-1,1.4,2,112,1.1,0.12,-0.05,9,-0.5,0.15,3.03,13,1,6.4,1.1,-5,269,,2.27,0.07,0.58,-0.01,0.02,0.52,3.86154,0.03,-0.01,0.06,0.08,91.95,0.01,0.56,-0.01
AL25TB009,38.029327,-113.604348,271418.19,4212269.96,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,7.08,0.2,0.37,2.9,0.01,-0.01,5.57,13.9,36,26.9,>30.0,0.02,-1,-5,-10,18,-5,-0.1,-0.2,10,-0.5,13,0.6,-10,1.76,1.81,-0.05,26,0.76,-1,8,0.47,-0.2,9.1,-10,0.4,46,5,108,2.5,7,25,0.77,111,-0.02,0.3,-5,-1,0.7,3,28,9.1,0.21,-0.05,19.8,-0.5,0.37,12.12,-5,6,9.3,3,24,126,,12.89,-0.01,0.28,-0.01,0.49,3.06,15.9968,0.02,-0.01,0.41,0.03,63.21,0.01,0.04,-0.01
AL25TB010,38.028705,-113.60451,271402,4212201.42,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,10.03,-0.1,0.06,4,0.04,-0.01,7.67,19.2,49.5,39.2,24.2,0.02,-1,-5,-10,46,6,-0.1,-0.2,16.4,-0.5,15,0.6,-10,1.65,2.08,-0.05,25,0.62,-1,8,0.5,-0.2,9.7,-10,0.67,26,-2,97,2.2,9,43,1.14,95.8,-0.02,0.5,-5,-1,0.5,9,82,7.9,0.19,-0.05,82.7,-0.5,0.49,19.62,-5,5,11.3,4.1,27,128,,18.39,-0.01,0.12,-0.01,0.08,4.46,22.7814,0.06,-0.01,0.55,0.02,49.34,0.01,0.04,-0.01
AL25TB011,38.028238,-113.60456,271396.15,4212149.61,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,1.12,-0.1,0.24,0.3,-0.01,-0.01,0.63,1.6,4.1,3.3,>30.0,0.02,-1,-5,-10,-10,-5,-0.1,-0.2,3.7,-0.5,43,0.2,-10,0.65,0.55,-0.05,9,0.28,-1,7,0.15,-0.2,2.9,-10,0.2,15,9,86,0.8,9,72,0.26,8.1,-0.02,0.5,-5,-1,0.2,2,-10,6.6,0.07,-0.05,5.5,-0.5,0.14,11.89,-5,5,6.1,1.3,-5,121,,2.12,-0.01,0.12,-0.01,0.33,0.37,2.72891,-0.01,-0.01,-0.01,-0.01,95.73,-0.01,0.03,-0.01
AL25TB012,38.028944,-113.60519,271343.03,4212229.62,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,18.36,-0.1,0.04,7.7,-0.01,0.01,14.236,35.5,91.9,82.5,2,0.02,-1,7,-10,73,-5,-0.1,-0.2,19.3,-0.5,-10,0.4,-10,0.25,0.33,-0.05,210,0.11,-1,6,0.08,-0.2,26,-10,0.11,-10,2,83,0.9,-5,244,0.73,58.8,-0.02,-0.1,-5,-1,-0.1,4,122,5.6,-0.05,-0.05,6,-0.5,0.07,6.15,6,5,1,0.8,-5,89.5,14.236,34.94,0.02,0.12,-0.01,0.06,9.38,40.7978,-0.01,0.01,0.71,0.03,4.06,0.01,0.04,-0.01
AL25TB013,38.029914,-113.604184,271434.37,4212334.79,Mountain Spring Peak,"Rhyolite tuffs and related clastic deposits, undivided",6.04,0.3,0.4,2.5,0.03,0.05,4.58,11.4,29.6,25.2,>30.0,0.28,-1,-5,-10,595,7,4,-0.2,68.6,-0.5,22,0.3,-10,2.46,1.57,0.64,17,3.69,-1,6,0.5,-0.2,36.9,-10,0.32,25,4,16,27.8,-5,24,7.85,28.3,-0.02,1.5,-5,-1,5.1,2,167,1.1,0.48,-0.05,19.5,-0.5,0.29,4.3,49,3,15.2,2.3,-5,214,,11.4,0.07,0.44,-0.01,0.55,2.86,15.4823,0.05,-0.01,0.23,0.12,66.83,0.02,0.46,0.01
AL25TB014,38.028198,-113.605601,271304.66,4212147.79,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,15.07,0.1,0.02,5.9,-0.01,0.01,11.519,28.8,74.4,62.4,10.8,0.01,-1,-5,-10,16,-5,-0.1,-0.2,39.5,-0.5,-10,0.4,-10,0.18,0.21,-0.05,56,0.09,-1,3,-0.05,-0.2,39.2,-10,-0.1,-10,-2,31,2.5,5,62,1.95,28.9,-0.02,-0.1,-5,-1,0.1,2,142,2,-0.05,-0.05,5.3,-0.5,-0.05,3.03,6,2,1.1,0.5,-5,41.1,11.519,28.23,-0.01,0.21,-0.01,0.01,7.09,33.5433,-0.01,-0.01,0.85,0.02,21.81,-0.01,0.02,-0.01
AL25TB015,38.028392,-113.605278,271333.61,4212168.55,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,7.37,-0.1,0.03,2.7,-0.01,0.01,5.82,14.5,37.6,26.6,29.1,0.03,-1,-5,-10,13,-5,-0.1,-0.2,19.2,-0.5,14,0.2,-10,0.57,0.57,-0.05,60,0.23,-1,9,0.16,-0.2,18.3,-10,0.17,16,4,112,1.4,7,156,0.96,25,-0.02,0.1,-5,-1,0.2,3,54,8.1,0.07,-0.05,30.3,-0.5,0.14,16.74,-5,6,3.2,1.1,-5,139,,13.99,-0.01,0.06,-0.01,0.02,3.03,17.6618,-0.01,-0.01,0.63,0.03,61.41,-0.01,0.05,-0.01
AL25TB016,38.029471,-113.604769,271381.65,4212287.07,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,5.51,-0.1,0.09,2.5,-0.01,-0.01,4.47,11.2,28.9,24.9,>30.0,0.02,-1,7,-10,35,6,-0.1,-0.2,4.2,-0.5,12,0.5,-10,0.52,0.62,-0.05,24,0.24,2,6,0.14,-0.2,4.9,-10,0.28,14,3,87,0.8,5,57,0.28,49.4,-0.02,-0.1,-5,-1,0.2,3,31,6.5,0.07,-0.05,14.5,-0.5,0.15,9.32,-5,4,4.3,1.6,21,103,,10.53,-0.01,0.06,-0.01,0.13,2.83,13.7486,-0.01,-0.01,0.17,0.01,70.91,-0.01,0.03,-0.01
AL25TB017,38.029761,-113.605184,271346.15,4212320.19,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,4.76,0.3,0.17,1,0.02,0.01,3.43,8.6,22.2,9.5,>30.0,0.02,-1,-5,-10,13,-5,-0.1,-0.2,29.6,-0.5,13,0.4,-10,0.49,0.66,-0.05,29,0.17,-1,6,0.15,-0.2,23.6,-10,0.18,15,4,94,1.8,6,46,1.46,124,-0.02,0.1,-5,-1,0.1,5,62,6.6,0.06,-0.05,8.5,-0.5,0.14,8.89,-5,5,2.5,1.2,-5,102,,8.97,-0.01,0.45,-0.01,0.23,1.08,12.1676,0.02,-0.01,0.78,0.03,75.27,-0.01,0.03,-0.01
AL25TB018,38.02935,-113.60608,271266.15,4212276.87,Mountain Spring Peak,Rhyolite member of Steamboat Mountain Formation,7.01,0.9,0.38,2.3,0.02,0.05,5.41,13.5,34.9,22.4,29,0.27,-1,-5,-10,748,-5,0.2,-0.2,71.3,-0.5,22,0.1,-10,1.96,1.12,0.94,15,3.98,-1,5,0.34,-0.2,40.5,-10,0.21,11,2,15,31.6,-5,23,8.47,164,-0.02,0.3,-5,-1,5.5,2,194,1,0.45,-0.05,28,-0.5,0.2,5.41,46,2,10,1.5,-5,188,,13.51,0.08,1.17,-0.01,0.53,2.55,18.1918,0.03,-0.01,0.47,0.11,60.95,0.02,0.45,-0.01
AL25TB019,38.036898,-113.593434,272399.68,4213083.39,Mountain Spring East,Rhyolite member of Steamboat Mountain Formation,7.91,0.2,0.9,1.2,0.03,-0.01,1.77,4.4,11.4,12.3,>30.0,0.05,-1,-5,13,19,-5,-0.1,-0.2,34.1,-0.5,-10,2,-10,1.02,0.92,-0.05,25,0.4,1,8,0.26,-0.2,6.1,60,0.19,326,7,86,1,-5,36,0.36,19.1,-0.02,-0.1,-5,-1,0.3,3,32,6.8,0.13,-0.05,47.5,-0.5,0.16,10.7,-5,7,8.7,1.3,31,155,,15.07,-0.01,0.22,-0.01,1.25,1.4,11.8276,0.04,0.04,0.06,-0.01,69.49,-0.01,0.09,-0.01
AL25TB020,38.037181,-113.593079,272431.74,4213113.97,Mountain Spring East,Rhyolite member of Steamboat Mountain Formation,6.63,0.2,0.77,2.9,0.05,-0.01,-0.01,0,-0.1,31.1,>30.0,0.05,-1,-5,12,23,6,-0.1,-0.2,24.8,-0.5,-10,4.7,-10,1.48,1.2,-0.05,23,0.76,2,8,0.38,-0.2,6.6,63,0.28,933,6,80,2.3,-5,50,0.75,379,-0.02,0.3,-5,-1,0.7,8,19,6.4,0.21,-0.05,43.8,4.8,0.25,11.37,-5,5,8.5,1.9,32,145,,12.9,-0.01,0.19,-0.01,1.06,3.54,4.33,0.08,0.13,0.93,-0.01,76.95,-0.01,0.08,-0.01
AL25TB021,38.036506,-113.593591,272384.68,4213040.31,Mountain Spring East,Rhyolite member of Steamboat Mountain Formation,7.09,-0.1,0.75,2.8,-0.01,0.01,4.73,11.8,30.6,29,>30.0,0.04,-1,-5,-10,22,-5,-0.1,-0.2,4.3,-0.5,-10,1.5,-10,0.26,0.28,-0.05,24,0.22,-1,7,0.08,-0.2,4.3,43,-0.1,157,11,73,0.9,-5,41,0.29,12,-0.02,-0.1,-5,-1,0.2,3,55,5.7,-0.05,-0.05,11.4,-0.5,0.06,8.41,-5,5,2.2,0.6,16,133,,13.44,0.01,0.11,-0.01,1.05,3.3,17.96,0.01,0.02,0.1,0.03,62.49,0.02,0.07,-0.01
AL25AR017,38.044794,-113.665171,266128.06,4214137.96,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.22,0.5,0.71,1.7,0.05,0.07,3.13,7.8,20.2,16.4,>30.0,0.24,-1,-5,14,537,-5,-0.1,-0.2,161,-0.5,21,0.2,-10,6.4,3.98,1.1,12,7.11,-1,5,1.35,-0.2,57.1,12,0.6,17,4,14,101,-5,20,25.43,12.2,-0.02,0.6,5,-1,14.9,2,492,0.9,1.09,0.24,48.4,-0.5,0.67,5.26,32,2,39.6,4.4,-5,192,,7.96,0.06,0.66,-0.01,0.99,1.86,11.3266,0.09,-0.01,0.16,0.14,76,0.06,0.39,-0.01
AL25AR018,38.044868,-113.665082,266136.13,4214145.97,PV,"Rhyolite tuffs and related clastic deposits, undivided",4.88,0.2,0.04,1.9,0.05,0.05,3.76,9.4,24.3,18.5,>30.0,0.13,-1,-5,-10,177,-5,-0.1,-0.2,88.8,-0.5,18,0.1,-10,1.47,1.33,0.11,14,1.01,-1,5,0.35,-0.2,57.1,-10,0.3,14,-2,20,17.4,-5,19,7.24,17,-0.02,0.3,-5,-1,1.4,3,238,1.5,0.2,-0.05,22.5,-0.5,0.23,5.2,22,2,9.3,2,-5,156,,9.22,0.02,0.3,-0.01,0.08,2.1,11.8241,0.09,0.01,0.29,0.11,74.38,0.04,0.23,-0.01
AL25AR019,38.045125,-113.664501,266187.89,4214173.02,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.16,0.4,0.1,2.1,0.03,0.04,3.99,10,25.8,20.1,>30.0,0.24,-1,-5,-10,426,-5,-0.1,-0.2,85.1,-0.5,24,-0.1,-10,1.86,1.34,0.36,12,2.05,-1,5,0.41,-0.2,48.8,-10,0.27,14,3,16,25.6,6,18,8.49,14.1,-0.02,0.4,5,-1,3,2,311,1.1,0.31,-0.05,19.4,-0.5,0.23,4.9,50,2,11.3,1.7,-5,178,,9.75,0.04,0.56,-0.01,0.16,2.28,12.5462,0.06,-0.01,0.19,0.09,72.49,0.03,0.4,-0.01
AL25AR020,38.045453,-113.663932,266238.9,4214207.92,PV,"Rhyolite tuffs and related clastic deposits, undivided",3.94,0.5,0.17,0.9,0.02,0.03,2.59,6.5,16.7,8.4,>30.0,0.28,-1,-5,-10,302,-5,-0.1,-0.2,77.7,-0.5,24,-0.1,-10,9.14,6.09,0.8,15,4.81,-1,9,2.04,-0.2,42.6,-10,0.8,-10,2,19,26.8,-5,9,8.34,20.4,-0.02,0.3,8,-1,3.9,2,205,1.2,1.18,-0.05,19.3,-0.5,0.92,3.41,21,1,60.4,5.8,-5,390,,7.36,0.05,0.63,-0.01,0.24,0.95,9.35,0.03,-0.01,0.37,0.06,80.71,0.01,0.45,-0.01
AL25AR021,38.045571,-113.664435,266195.16,4214222.27,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.39,0.4,0.54,3,0.07,0.08,5.56,13.9,35.9,30.3,28,0.25,-1,8,-10,805,-5,-0.1,-0.2,129,0.8,40,0.2,-10,4.04,2.54,1.41,17,5.86,-1,5,0.84,-0.2,67.6,-10,0.42,49,5,13,55.7,14,26,15.17,31.8,-0.02,0.4,6,-1,9.5,2,365,1,0.74,-0.05,19.3,-0.5,0.4,4.01,48,2,23.6,2.9,-5,197,,13.99,0.09,0.47,-0.01,0.73,3.45,17.2317,0.13,0.01,0.27,0.19,60.21,0.03,0.41,0.02
AL25AR022,38.046056,-113.664817,266163.12,4214277.09,PV,"Rhyolite tuffs and related clastic deposits, undivided",6,-0.1,0.05,2.7,-0.01,0.02,4.69,11.7,30.3,25.9,>30.0,0.1,-1,-5,-10,594,-5,-0.1,-0.2,31.3,-0.5,22,0.1,-10,0.51,0.4,0.11,12,0.69,-1,2,0.13,-0.2,19.9,-10,-0.1,-10,2,9,8.2,5,20,2.79,16.5,-0.02,0.8,-5,-1,1.1,1,197,0.7,0.09,-0.05,7,-0.5,0.06,3.35,23,2,3.8,0.5,-5,77.7,,11.24,0.07,0.05,-0.01,0.06,2.95,14.2629,-0.01,-0.01,0.15,0.05,68.9,0.02,0.15,-0.01
AL25AR023,38.045965,-113.665489,266103.88,4214268.69,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.28,0.1,0.09,3.3,-0.01,0.02,6.34,15.8,40.9,33.3,26.1,0.05,-1,-5,-10,173,-5,0.3,-0.2,50.7,-0.5,11,0.4,-10,0.71,0.71,-0.05,20,0.29,-1,6,0.18,-0.2,32.6,-10,0.19,-10,6,64,9.1,6,43,3.96,64.4,-0.02,0.4,-5,-1,0.7,8,273,5.5,0.08,-0.05,21.9,-0.5,0.15,10.26,26,3,4.7,1.3,-5,112,,15.7,0.03,0.16,-0.01,0.12,3.79,21.7578,0.01,-0.01,0.45,0.04,56.34,0.04,0.08,-0.01
AL25AR039,38.039364,-113.595933,272187.96,4213363.26,Mountain Spring East area,"Rhyolite tuffs and related clastic deposits, undivided",6.39,0.1,1.28,2.8,0.01,0.02,4.7,11.7,30.4,29,29,0.08,-1,6,-10,183,-5,0.9,-0.2,33.1,-0.5,-10,1.4,-10,2.96,3.33,-0.05,39,1.37,-1,11,0.84,-0.2,31.6,-10,0.81,50,-2,122,5.4,-5,73,2.28,32,-0.02,0.5,-5,-1,0.9,15,101,8.8,0.35,-0.05,52,-0.5,0.63,2.53,10,3,36.2,5.2,5,189,,12.04,0.02,0.15,-0.01,1.86,3.3,17.3535,0.03,-0.01,0.2,0.05,63.16,0.01,0.14,-0.01
AL25AR040,38.039168,-113.595933,272187.34,4213341.49,Mountain Spring East area,"Rhyolite tuffs and related clastic deposits, undivided",7.99,0.2,1.01,0.1,0.03,-0.01,0.03,0.1,0.2,0.9,>30.0,0.06,-1,8,-10,27,-5,0.7,-0.2,64.6,-0.5,-10,1.6,-10,6.58,5.13,0.06,28,4.55,1,9,1.52,-0.2,28.1,12,0.9,551,4,119,15.5,6,42,5.07,8.7,-0.02,0.3,-5,-1,4.1,14,21,8.4,0.95,-0.05,94.4,2.1,0.86,2.93,10,2,47,6.2,9,164,,15.16,-0.01,0.23,-0.01,1.46,0.1,7.39926,0.05,0.07,0.06,0.02,75.47,-0.01,0.1,-0.01
